Symbol,Name,Quantity,Sell Zone,Buy Zone,Price,Date,1hr % Change,24hr % Change,7d % Change,30d % Change,Total Value,Total Investment,Cash Left
BTC,Bitcoin,0.01356244,84000.0,36000.0,33831.9189,06-07-2021 16:31,-1.0,-5.23,-9.37,-42.29,458.84,4017.37,130.02
ETH,Ethereum,0.1771074,5000.0,2500.0,2606.7582,06-07-2021 16:31,-0.79,-3.55,-3.19,-32.62,461.68,,
LINK,Chainlink,10.87315938,74.0,30.0,24.6595,06-07-2021 16:31,-1.75,-9.74,-22.29,-48.71,268.13,,
ADA,Cardano,142.5,3.4,1.55,1.5778,06-07-2021 16:31,-1.45,-5.53,-9.28,-2.07,224.84,,
LTC,Litecoin,1.00191893,575.0,225.0,163.2155,06-07-2021 16:31,-1.51,-6.99,-12.58,-52.52,163.53,,
ENJ,Enjin Coin,60.0,3.8,1.5,1.348,06-07-2021 16:31,-2.06,-8.28,-17.86,-45.31,80.88,,
MATIC,Polygon,40.0,4.0,1.25,1.4946,06-07-2021 16:31,-2.64,-4.97,-20.85,79.46,59.78,,
GRT,The Graph,90.0,2.5,1.0,0.7033,06-07-2021 16:31,-3.37,-9.56,-10.89,-55.33,63.3,,
BAT,Basic Attention Token,8.58426246,1.3,1.0,0.7034,06-07-2021 16:31,-2.2,-7.06,-7.66,-50.53,6.04,,
ALGO,Algorand,5.942421,2.1,1.0,0.9585,06-07-2021 16:31,-2.7,-5.76,2.47,-36.91,5.7,,
MKR,Maker,0.0014,7010.0,3600.0,3319.9408,06-07-2021 16:31,-0.97,-7.88,-7.06,-40.48,4.65,,
UNI,Uniswap,0.193624,53.0,30.0,24.3228,06-07-2021 16:31,-1.13,-5.64,-13.63,-39.57,4.71,,
XLM,Stellar,8.7632801,1.28,0.6,0.3481,06-07-2021 16:31,-2.51,-8.14,-12.91,-43.44,3.05,,
MANA,Decentraland,3.08896308,3.3,1.0,0.7506,06-07-2021 16:31,-2.24,-8.03,-11.78,-47.82,2.32,,
XTZ,Tezos,0.006587,6.0,3.0,3.5105,06-07-2021 16:31,-3.05,-8.98,-2.03,-49.6,0.02,,
VET,Vechain,2618.2,0.27,0.11,0.1163,06-07-2021 16:31,-1.8,-9.33,-6.96,-47.97,304.5,,
AVAX,Avalanche,10.28,46.0,20.0,15.6327,06-07-2021 16:31,-1.79,-9.84,-13.55,-59.38,160.7,,
EGLD,Elrond,2.6964,238.0,110.0,92.0164,06-07-2021 16:31,-1.92,-4.95,-10.56,-50.56,248.11,,
DOT,Polkadot,12.54684,51.32,25.0,21.8484,06-07-2021 16:31,-3.55,-8.96,-6.36,-44.48,274.13,,
SOL,Solana,7.84608,76.47,32.0,39.2695,06-07-2021 16:31,-2.62,-7.06,19.62,-14.07,308.11,,
XRP,XRP (Ripple),265.51419,2.47,1.24,0.8613,06-07-2021 16:31,-1.64,-7.97,-16.36,-45.17,228.69,,
ONE,Harmony,87.0,0.25,0.1,0.0873,06-07-2021 16:31,-2.37,-8.4,-12.98,-31.88,7.6,,
