Symbol,Name,Quantity,Sell Zone,Buy Zone,Price,Date,1hr % Change,24hr % Change,7d % Change,30d % Change,Total Value,Total Investment,Cash Left
BTC,Bitcoin,0.01299203,84000.0,36000.0,36902.2918,06-04-2021 16:58,-0.73,-5.77,3.42,-35.6,479.44,4017.37,230.03
ETH,Ethereum,0.16937251,5200.0,2700.0,2686.9904,06-04-2021 16:58,-1.48,-5.76,11.0,-23.59,455.1,,
LINK,Chainlink,10.51315938,74.0,30.0,28.9634,06-04-2021 16:58,-1.31,-9.98,3.48,-41.44,304.5,,
ADA,Cardano,136.2,3.4,1.6,1.7163,06-04-2021 16:58,-1.37,-6.76,13.44,16.32,233.76,,
LTC,Litecoin,1.00191893,575.0,250.0,179.0098,06-04-2021 16:58,-0.92,-7.27,1.01,-49.76,179.35,,
ENJ,Enjin Coin,60.0,3.8,1.5,1.4988,06-04-2021 16:58,-1.3,-8.87,5.57,-42.13,89.93,,
MATIC,Polygon,40.0,4.0,1.25,1.6351,06-04-2021 16:58,-1.03,-10.2,-10.89,100.99,65.4,,
GRT,The Graph,90.0,2.5,1.0,0.8038,06-04-2021 16:58,-1.56,-15.41,23.29,-47.72,72.34,,
BAT,Basic Attention Token,8.58426246,1.3,1.0,0.7635,06-04-2021 16:58,-0.95,-7.91,2.05,-44.0,6.55,,
ALGO,Algorand,5.942421,2.1,1.0,1.031,06-04-2021 16:58,0.06,-6.97,14.58,-28.21,6.13,,
MKR,Maker,0.0014,7010.0,3600.0,3743.0759,06-04-2021 16:58,-1.17,2.45,14.94,-30.69,5.24,,
UNI,Uniswap,0.193624,53.0,30.0,26.5595,06-04-2021 16:58,-1.28,-7.06,2.24,-37.34,5.14,,
XLM,Stellar,8.7632801,1.28,0.6,0.3849,06-04-2021 16:58,-2.19,-9.46,-3.47,-35.84,3.37,,
MANA,Decentraland,3.08896308,3.3,1.0,0.8192,06-04-2021 16:58,-1.03,-7.08,0.59,-41.96,2.53,,
XTZ,Tezos,0.006587000000000001,6.0,3.0,3.5658,06-04-2021 16:58,-1.42,-8.08,4.71,-46.03,0.02,,
VET,Vechain,2618.2,0.27,0.11,0.1292,06-04-2021 16:58,-2.72,-9.39,19.4,-37.83,338.27,,
AVAX,Avalanche,10.28,46.0,20.0,18.2425,06-04-2021 16:58,-1.72,-9.85,9.03,-48.23,187.53,,
EGLD,Elrond,2.6964,238.0,110.0,97.2708,06-04-2021 16:58,-1.57,-9.35,-2.23,-49.4,262.28,,
DOT,Polkadot,11.69197,51.32,25.0,25.053,06-04-2021 16:58,-1.18,-7.23,17.1,-38.15,292.92,,
SOL,Solana,7.8460800000000015,76.47,32.0,37.4448,06-04-2021 16:58,-2.06,-4.98,29.05,-16.61,293.79,,
XRP,XRP (Ripple),243.45454,2.47,1.24,0.9705,06-04-2021 16:58,-1.32,-7.16,7.89,-39.94,236.27,,
ONE,Harmony,87.0,0.25,0.1,0.0987,06-04-2021 16:58,-0.75,-10.22,8.32,-24.66,8.59,,
